fname,lname,email_address,phone_number,address,city,gender,date_of_birth
Atri,Thakar,atri.thakar0@example.com,9870000000,196 The Avenue,bhavnagar,male,2005-10-30
Bansi,Thakar,bansi.thakar1@example.com,9870000001,1062 Goldner Pass,rajkot,female,2001-09-12
Bavnit,Thakar,bavnit.thakar2@example.com,9870000002,6929 E 14th Street,patan,male,2001-01-04
Bhavik,Thakar,bhavik.thakar3@example.com,9870000003,80910 Myah Station,ahmedabad,male,1989-11-11
Brijesh,Thakar,brijesh.thakar4@example.com,9870000004,1929 Abbott Vista,anand,male,1988-11-18
Chirag,Thakar,chirag.thakar5@example.com,9870000005,61552 Kelvin Harbor,mahuva,male,1993-01-29
Danishbhai,Thakar,danishbhai.thakar6@example.com,9870000006,3418 St George's Road,shihor,male,1994-07-07
Deep,Thakar,deep.thakar7@example.com,9870000007,48029 Turcotte Run,jamnagar,male,1996-10-28
Dev,Thakar,dev.thakar8@example.com,9870000008,3451 Luisa Landing,bhavnagar,male,1996-11-11
Dhairya,Thakar,dhairya.thakar9@example.com,9870000009,908 Kautzer Canyon,rajkot,female,2000-12-09
Dhiren,Thakar,dhiren.thakar10@example.com,9870000010,3403 Nelson Street,patan,male,2003-09-15
Dilip,Thakar,dilip.thakar11@example.com,9870000011,3898 Nia Passage,ahmedabad,male,2001-10-06
Dipeshkumar,Thakar,dipeshkumar.thakar12@example.com,9870000012,59690 Rectory Close,anand,male,1998-12-07
Diya,Thakar,diya.thakar13@example.com,9870000013,8741 Simonis Land,mahuva,female,1988-11-06
Drumilgar,Thakar,drumilgar.thakar14@example.com,9870000014,128 Brenden Cliff,shihor,male,2005-12-03
Harsh,Thakar,harsh.thakar15@example.com,9870000015,74481 Coronation Avenue,jamnagar,male,1996-07-06
Harshil,Thakar,harshil.thakar16@example.com,9870000016,14271 Sylvan Camp,bhavnagar,male,2002-02-26
Harshkumar,Thakar,harshkumar.thakar17@example.com,9870000017,21433 Alfred Street,rajkot,male,1988-05-12
Het,Thakar,het.thakar18@example.com,9870000018,58979 Goodwin Spur,patan,male,1997-07-23
Hivalkumar,Thakar,hivalkumar.thakar19@example.com,9870000019,80021 Misael Mall,ahmedabad,male,2007-04-25
Jaimin,Thakar,jaimin.thakar20@example.com,9870000020,30316 13th Street,anand,male,2005-02-02
Jatin,Thakar,jatin.thakar21@example.com,9870000021,33032 Wunsch Brooks,mahuva,male,2000-10-27
